City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
saint-augustin,51.226,-58.6502,69.39,39,31,12.44,CA,1659789957
codrington,-38.2667,141.9667,49.6,85,100,7.96,AU,1659789958
coahuayana,18.7333,-103.6833,75.51,91,89,4.03,MX,1659789959
zlobin,45.2924,14.6541,88.9,26,20,13.8,HR,1659789960
sulangan,11.1373,123.7228,79.74,83,100,10.27,PH,1659789961
hambantota,6.1241,81.1185,84.54,70,100,9.22,LK,1659789961
avera,33.194,-82.5271,83.55,82,87,4.07,US,1659789962
guerrero negro,27.9769,-114.0611,69.64,93,100,10.36,MX,1659789937
vung tau,10.346,107.0843,79.83,83,100,13.89,VN,1659789886
nikolskoye,59.7035,30.7861,82.29,59,100,10.67,RU,1659789964
pilar,-9.5972,-35.9567,76.93,86,92,6.22,BR,1659789965
provideniya,64.3833,-173.3,47.52,85,100,6.13,RU,1659789966
albanel,48.8832,-72.4487,64.54,82,50,3.44,CA,1659789967
katsuura,35.1333,140.3,75.45,82,56,5.77,JP,1659789968
kahului,20.8947,-156.47,77.85,73,0,5.01,US,1659789969
morgan city,29.6994,-91.2068,78.03,90,8,3.96,US,1659789969
bend,44.0582,-121.3153,56.48,58,0,0.0,US,1659789970
tuatapere,-46.1333,167.6833,46.89,86,75,4.9,NZ,1659789971
mawlaik,23.6333,94.4167,77.77,97,6,0.89,MM,1659789972
shintomi,32.0785,131.4723,79.92,86,6,3.4,JP,1659789973
orleans,30.0335,-89.9501,81.99,83,0,0.0,US,1659789924
ust-koksa,50.2696,85.6108,66.09,60,7,4.45,RU,1659789976
barrow,71.2906,-156.7887,33.85,98,100,17.63,US,1659789977
praya,14.9215,-23.5087,84.74,65,75,16.11,CV,1659789750
nicoya,10.1483,-85.452,75.31,89,17,4.94,CR,1659789978
arraial do cabo,-22.9661,-42.0278,73.26,68,75,9.22,BR,1659789850
raudeberg,61.9875,5.1352,52.47,63,100,16.69,NO,1659789979
hay river,60.8156,-115.7999,57.18,67,40,9.22,CA,1659789739
dumai,1.6833,101.45,77.61,81,91,2.42,ID,1659789982
tyukalinsk,55.8732,72.1967,76.08,53,63,5.3,RU,1659789982
turukhansk,65.8167,87.9833,68.05,54,16,5.64,RU,1659789983
terra roxa,-23.8557,-50.0314,59.81,74,99,7.81,BR,1659789986
vaini,-21.2,-175.2,75.36,100,100,8.05,TO,1659789986
jinchang,38.4953,102.1739,84.47,31,100,6.49,CN,1659789987
zyryanovsk,49.7386,84.2719,80.47,33,6,8.16,KZ,1659789988
yulara,-25.2406,130.9889,53.83,29,0,8.23,AU,1659789989
ordynskoye,54.3656,81.8994,73.2,48,66,6.62,RU,1659789990
port alfred,-33.5906,26.891,64.18,72,7,7.0,ZA,1659789991
pitimbu,-7.4706,-34.8086,79.39,69,42,12.86,BR,1659789992
oktyabrskiy,54.4815,53.471,81.01,38,2,6.67,RU,1659789993
pochutla,15.7432,-96.4661,75.02,80,96,4.41,MX,1659789994
buchanan,5.8808,-10.0467,78.85,73,98,10.63,LR,1659789994
los llanos de aridane,28.6585,-17.9182,74.95,65,40,13.8,ES,1659789996
thurso,58.5927,-3.5259,59.25,87,100,14.36,GB,1659789927
tanout,14.9709,8.8879,94.73,34,91,11.48,NE,1659789998
gumdag,39.2061,54.5906,101.43,16,26,20.31,TM,1659789998
rosetown,51.5501,-108.0014,37.38,93,6,6.91,CA,1659789738
jacqueville,5.2052,-4.4146,76.53,68,10,8.05,CI,1659790000
sabang,5.8933,95.3214,82.72,75,98,18.66,ID,1659790001
yevpatoriya,45.1972,33.3558,87.66,44,34,5.61,UA,1659790002
podyuga,61.095,40.8647,83.91,38,20,8.55,RU,1659790003
faya,18.3851,42.4509,82.51,45,94,2.57,SA,1659790004
saint-pierre,-21.3393,55.4781,74.88,67,75,5.75,RE,1659790005
kysyl-syr,63.8986,122.7617,54.14,86,100,3.11,RU,1659790006
yabluniv,48.4042,24.9387,85.1,37,70,7.25,UA,1659790007
totness,5.8833,-56.3167,81.07,74,90,7.67,SR,1659790008
dingle,10.9995,122.6711,76.26,90,100,0.29,PH,1659790009
anadyr,64.75,177.4833,50.5,81,0,4.47,RU,1659790009
ilulissat,69.2167,-51.1,44.62,93,75,5.75,GL,1659790010
hasaki,35.7333,140.8333,73.8,78,100,5.48,JP,1659790011
rorvik,64.8621,11.2373,54.12,77,93,19.98,NO,1659790012
koslan,63.4564,48.8989,84.06,34,5,8.1,RU,1659790013
torbay,47.6666,-52.7314,72.75,83,75,9.22,CA,1659789796
arona,28.0996,-16.681,78.03,57,0,23.02,ES,1659790014
plymouth,41.8334,-70.8328,82.2,82,20,5.75,US,1659789911
balkhash,46.844,74.9804,81.21,29,0,8.95,KZ,1659790016
vao,-22.6667,167.4833,73.26,85,34,11.1,NC,1659790016
tasiilaq,65.6145,-37.6368,46.56,77,100,11.23,GL,1659790017
colac,-38.3333,143.5833,48.16,94,72,3.42,AU,1659790018
clonmel,52.355,-7.7039,69.51,54,100,5.66,IE,1659789992
makakilo city,21.3469,-158.0858,75.52,79,20,5.75,US,1659790020
saint george,37.1041,-113.5841,76.95,62,0,6.91,US,1659790020
madimba,-10.4,40.3333,80.6,50,22,16.35,TZ,1659790021
san pedro,14.35,121.0167,80.35,91,100,2.3,PH,1659790022
mar del plata,-38.0023,-57.5575,47.08,81,0,3.44,AR,1659789988
chokurdakh,70.6333,147.9167,41.76,84,100,10.51,RU,1659790024
bahia blanca,-38.7196,-62.2724,45.16,69,100,6.62,AR,1659789986
alofi,-19.0595,-169.9187,73.29,94,100,6.91,NU,1659790025
aketi,2.7388,23.7833,88.83,51,100,2.44,CD,1659790026
pevek,69.7008,170.3133,36.41,99,100,9.26,RU,1659790027
mahibadhoo,3.7833,72.9667,82.2,79,100,15.26,MV,1659790028
hovd,48.0056,91.6419,69.15,34,100,7.23,MN,1659790029
hami,42.8,93.45,94.17,17,17,3.67,CN,1659790030
san jeronimo,-11.9472,-75.2829,46.53,87,99,1.72,PE,1659790031
banda aceh,5.5577,95.3222,81.3,75,98,11.65,ID,1659790032
la ronge,55.1001,-105.2842,50.25,87,20,4.61,CA,1659790033
tecpan,14.7623,-90.9947,55.89,94,70,4.45,GT,1659790034
half moon bay,37.4636,-122.4286,65.05,88,100,3.44,US,1659789906
tukrah,32.5341,20.5791,85.8,56,0,13.2,LY,1659790035
gat,31.61,34.7642,96.4,17,0,13.96,IL,1659790036
medea,36.2642,2.7539,93.94,14,0,13.4,DZ,1659790037
potosi,-19.5836,-65.7531,40.69,40,16,15.17,BO,1659790033
linjiang,41.8069,126.9078,71.85,83,84,2.19,CN,1659790039
kampong thum,12.7111,104.8887,76.17,87,100,0.58,KH,1659790040
verkhnetulomskiy,68.6073,31.7962,55.53,98,100,3.98,RU,1659790041
olafsvik,64.8945,-23.7142,53.4,92,95,4.88,IS,1659790042
saskylakh,71.9167,114.0833,56.32,50,100,8.1,RU,1659790043
gamboula,4.1178,15.1393,83.95,57,99,3.53,CF,1659790045
angouleme,45.65,0.15,84.2,29,0,17.27,FR,1659790046
cherskiy,68.75,161.3,48.76,68,20,5.35,RU,1659790047
nikki,9.9401,3.2108,87.33,49,86,2.55,BJ,1659790049
springdale,36.1867,-94.1288,79.5,86,0,8.05,US,1659790050
longyearbyen,78.2186,15.6401,49.84,76,75,11.5,SJ,1659790051
san cristobal,7.7669,-72.225,68.18,84,100,4.09,VE,1659790052
pangnirtung,66.1451,-65.7125,45.72,82,97,1.9,CA,1659790053
vila velha,-20.3297,-40.2925,76.95,76,75,12.66,BR,1659790054
bredasdorp,-34.5322,20.0403,57.49,63,100,14.32,ZA,1659790054
tiksi,71.6872,128.8694,40.21,84,100,15.46,RU,1659790055
omboue,-1.5746,9.2618,79.18,62,37,13.04,GA,1659790056
saint-georges,12.0564,-61.7485,80.28,83,75,9.22,GD,1659789906
nouadhibou,20.931,-17.0347,80.58,74,6,12.66,MR,1659790058
pemangkat,1.1667,108.9667,79.79,79,99,8.63,ID,1659790059
soure,-0.7167,-48.5233,81.57,71,89,12.15,BR,1659790060
new norfolk,-42.7826,147.0587,42.3,69,100,3.0,AU,1659790061
tezu,27.9167,96.1667,80.91,94,100,3.78,IN,1659790062
cheremukhovo,60.3484,59.9851,72.61,64,100,2.01,RU,1659790063
carnarvon,-24.8667,113.6333,65.17,53,0,14.92,AU,1659790065
mao,39.8885,4.2658,91.96,43,0,17.27,ES,1659790031
roald,62.5833,6.1333,56.75,87,75,17.27,NO,1659790066
at-bashi,41.1702,75.8106,74.91,27,7,3.24,KG,1659790067
sitka,57.0531,-135.33,57.09,94,100,9.22,US,1659789834
finnsnes,69.2296,17.9811,66.81,47,66,8.14,NO,1659790069
